word,lemma,category
degree,,noun_
deity,,noun_
delve,,verb_
demagogue,,noun_
demonstrate,,verb_
demoralize,,noun_
depict,,verb_
depth,,noun_
derive,,verb_
descent,,noun_
description,,noun_
design,,noun_
desire,,noun_
destiny,,noun_
destructive,,adj_
detail,,verb_
determine,,verb_
develop,,verb_
devil,,propn_
die,,verb_
difference,,noun_
different,,adj_
dim,,adj_
diplomat,,noun_
discern,,adj_
discipline,,noun_
discover,,verb_
discovery,,noun_
disease,,noun_
dismal,,adj_
disrupt,,verb_
distance,,noun_
distract,,noun_
diverse,,adj_
divination,,noun_
do,,aux_
dormitory,,noun_
double,,verb_
down,,adp_
draft,,noun_
dragon,,noun_
dreadful,,adj_
duelist,,noun_
during,,adp_
each,,det_
early,,adv_
earn,,verb_
echo,,noun_
editing,,noun_
effect,,noun_
either,,det_
elaborate,,adj_
elf,,noun_
embody,,verb_
embolden,,verb_
employ,,verb_
enclave,,noun_
encounter,,verb_
end,,noun_
enemy,,noun_
ensure,,verb_
enter,,verb_
entertainer,,noun_
epic,,adj_
equal,,adj_
equipment,,noun_
escape,,verb_
esoteric,,adj_
essence,,noun_
even,,adv_
event,,noun_
every,,det_
everything,,pron_
evil,,adj_
exalted,,adj_
example,,noun_
exhort,,verb_
existence,,noun_
exotic,,adj_
expend,,verb_
expended,,adj_
experience,,noun_
experienced,,adj_
expertise,,noun_
expose,,verb_
extend,,verb_
extra,,adj_
extraordinary,,adj_
eye,,noun_
fable,,noun_
fabric,,noun_
facilitate,,verb_
fail,,verb_
failed,,adj_
faith,,noun_
fall,,verb_
fault,,noun_
fealty,,noun_
fear,,noun_
feat,,noun_
feature,,verb_
feedback,,noun_
fellow,,noun_
festival,,noun_
few,,adj_
fey,,noun_
fiendish,,adj_
fight,,verb_
figure,,noun_
find,,verb_
finger,,noun_
finish,,verb_
fire,,noun_
firm,,adj_
firsthand,,adv_
five,,num_
focus,,noun_
foe,,noun_
folk,,noun_
follow,,verb_
foot,,noun_
for,,adp_
force,,noun_
forget,,verb_
forgo,,verb_
form,,verb_
forth,,adv_
fortifie,,noun_
four,,num_
freedom,,noun_
friend,,noun_
friendly,,adj_
frightened,,adj_
from,,adp_
full,,adj_
fun,,noun_
gain,,verb_
game,,verb_
gather,,verb_
gathering,,noun_
gazelle,,propn_
general,,adj_
generation,,noun_
get,,verb_
giant,,noun_
gift,,noun_
girl,,noun_
give,,verb_
glare,,verb_
glint,,noun_
glory,,noun_
gnome,,noun_
god,,noun_
gold,,noun_
good,,adj_
grant,,verb_
gratitude,,noun_
gray,,noun_
great,,adj_
greet,,verb_
gregarious,,adj_
grim,,adj_
grow,,verb_
guidance,,noun_
guide,,verb_
hag,,noun_
hair,,noun_
half,,det_
hand,,noun_
happening,,noun_
hard,,adj_
harmony,,noun_
harness,,verb_
have,,aux_
head,,noun_
heal,,verb_
hear,,verb_
heart,,noun_
hellish,,propn_
help,,verb_
herald,,propn_
here,,adv_
heritage,,noun_
hero,,noun_
heroic,,adj_
heroism,,noun_
hide,,verb_
high,,adj_
hinder,,verb_
history,,noun_
hit,,noun_
hold,,verb_
homeland,,noun_
honest,,adj_
horizon,,noun_
horn,,noun_
hour,,noun_
how,,adv_
however,,adv_
hum,,verb_
human,,adj_
if,,sconj_
illusion,,noun_
imagination,,noun_
immediately,,adv_
immune,,adj_
important,,adj_
imprint,,noun_
in,,adp_
incapacitate,,verb_
incline,,verb_
include,,verb_
incomprehensible,,adj_
increase,,verb_
indeed,,adv_
independent,,adj_
infernal,,adj_
influence,,verb_
infuse,,verb_
initiative,,noun_
innate,,adj_
insight,,noun_
inspiration,,noun_
inspire,,verb_
instance,,noun_
instead,,adv_
instrument,,noun_
insult,,noun_
intelligence,,noun_
intimidation,,noun_
into,,adp_
invisibility,,noun_
invisible,,adj_
jab,,noun_
jester,,adj_
join,,verb_
jolt,,verb_
jongleur,,noun_
just,,adv_
keep,,verb_
king,,noun_
knife,,noun_
knight,,noun_
knock,,verb_
know,,verb_
knowledge,,noun_
lack,,noun_
land,,noun_
language,,noun_
large,,adj_
lash,,noun_
last,,verb_
laugh,,verb_
lean,,verb_
learn,,verb_
leather,,noun_
leave,,verb_
leg,,noun_
less,,adj_
lesson,,noun_
let,,verb_
level,,noun_
library,,noun_
lie,,verb_
life,,noun_
light,,noun_
like,,sconj_
list,,verb_
little,,adj_
live,,verb_
local,,adj_
long,,adj_
longsword,,noun_
look,,verb_
loose,,adj_
lord,,noun_
lore,,propn_
lose,,verb_
lot,,noun_
love,,verb_
loyalty,,noun_
lute,,noun_
magic,,noun_
magical,,adj_
magically,,adv_
mail,,noun_
make,,verb_
manipulate,,noun_
many,,adj_
mark,,noun_
master,,noun_
material,,noun_
mature,,verb_
may,,verb_
mean,,noun_
measure,,noun_
mechanic,,noun_
meet,,verb_
melee,,noun_
member,,noun_
mentally,,adv_
mentor,,noun_
mighty,,adj_
millstone,,noun_
mind,,noun_
minimum,,noun_
minority,,noun_
minstrel,,noun_
minute,,noun_
mischievous,,adj_
mistrust,,noun_
modifier,,noun_
monarch,,noun_
monument,,noun_
morality,,noun_
more,,adj_
most,,adj_
mostly,,adv_
motivation,,noun_
mouth,,noun_
much,,adj_
multiverse,,noun_
mundane,,adj_
music,,noun_
musical,,adj_
must,,verb_
mystical,,adj_
mythic,,adj_
name,,noun_
natural,,adj_
nature,,noun_
necessary,,adj_
neck,,noun_
necromancy,,noun_
necrotic,,adj_
need,,verb_
nervous,,adj_
new,,adj_
next,,adj_
no,,det_
noble,,adj_
normal,,adj_
normally,,adv_
not,,part_
note,,noun_
nowhere,,adv_
number,,noun_
object,,noun_
of,,adp_
official,,adj_
officially,,adv_
often,,adv_
old,,adj_
on,,adp_
once,,adv_
one,,num_
only,,adv_
opportunity,,noun_
option,,noun_
optional,,adj_
or,,cconj_
oration,,noun_
orphan,,propn_
other,,adj_
otherwise,,adv_
out,,adp_
over,,adp_
overcome,,verb_
overlord,,noun_
own,,adj_
pack,,noun_
pact,,noun_
paint,,verb_
paralyzed,,adj_
part,,noun_
pass,,verb_
past,,noun_
peasant,,noun_
people,,noun_
per,,adp_
perfect,,verb_
perform,,verb_
performance,,noun_
performer,,noun_
perhaps,,adv_
period,,noun_
permanent,,adj_
permit,,verb_
personal,,adj_
personality,,noun_
petrified,,adj_
philosophy,,noun_
place,,noun_
plane,,noun_
playt,,adj_
playtesting,,noun_
plumb,,verb_
plunder,,verb_
poem,,noun_
point,,noun_
poison,,verb_
poke,,adj_
politic,,adj_
population,,noun_
possible,,adj_
pour,,verb_
power,,noun_
powerful,,adj_
practice,,verb_
prefer,,verb_
prejudice,,noun_
present,,verb_
preserve,,verb_
previous,,adj_
priesthood,,noun_
primordial,,adj_
product,,noun_
proficiency,,noun_
prone,,adj_
psychic,,adj_
pupil,,noun_
purple,,noun_
pursuit,,noun_
quarter,,noun_
quest,,noun_
question,,verb_
quick,,adj_
racial,,adj_
raise,,verb_
ram,,noun_
range,,verb_
rapier,,noun_
rarely,,adv_
rate,,noun_
rather,,adv_
reach,,verb_
reaction,,noun_
read,,verb_
ready,,adj_
reality,,noun_
rebuke,,propn_
receive,,verb_
recite,,verb_
recount,,verb_
red,,noun_
refer,,verb_
refine,,verb_
reflect,,verb_
reflective,,adj_
regain,,verb_
reliant,,adj_
remove,,verb_
renown,,verb_
renowned,,adj_
repertoire,,noun_
replace,,verb_
require,,verb_
reshape,,verb_
resistance,,noun_
resound,,verb_
respect,,noun_
respond,,verb_
rest,,noun_
restore,,noun_
result,,noun_
retain,,verb_
revel,,verb_
revitalize,,verb_
rhythmically,,adv_
right,,adv_
ritual,,noun_
role,,noun_
roll,,noun_
rough,,adj_
round,,verb_
royal,,adj_
rubbish,,noun_
rugged,,adj_
ruin,,noun_
rule,,noun_
runaway,,adj_
saga,,noun_
same,,adj_
sap,,verb_
save,,noun_
saving,,noun_
say,,verb_
scale,,noun_
scholar,,noun_
scholarly,,adj_
school,,noun_
sclera,,noun_
score,,noun_
scoundrel,,propn_
scrutinize,,verb_
section,,noun_
secure,,adj_
see,,verb_
seek,,verb_
self,,noun_
semi,,adj_
sense,,noun_
seriousness,,noun_
serve,,verb_
set,,noun_
settle,,verb_
shade,,noun_
shape,,noun_
share,,verb_
sharpen,,verb_
sharply,,adv_
sheer,,adj_
shopkeeper,,noun_
short,,adj_
shortsword,,noun_
show,,verb_
sideline,,noun_
signify,,verb_
silence,,verb_
silver,,noun_
simple,,adj_
simply,,adv_
sin,,noun_
singe,,verb_
situation,,noun_
size,,noun_
skald,,noun_
skill,,noun_
skin,,noun_
skull,,noun_
slayer,,noun_
slot,,noun_
small,,adj_
snatch,,verb_
so,,adv_
solid,,adj_
some,,det_
someone,,pron_
something,,pron_
sometimes,,adv_
song,,noun_
soothe,,verb_
sorrow,,noun_
soul,,noun_
source,,noun_
space,,noun_
spark,,verb_
speak,,verb_
special,,adj_
spectral,,adj_
spectrum,,noun_
speech,,noun_
speed,,noun_
spell,,noun_
spellbound,,propn_
spellcaste,,verb_
spellcasting,,adj_
spend,,verb_
spew,,verb_
spiral,,noun_
spirit,,noun_
spoiled,,adj_
spot,,verb_
springing,,noun_
star,,noun_
stare,,verb_
start,,verb_
state,,noun_
stereotype,,noun_
stern,,adj_
stick,,verb_
still,,adv_
stir,,verb_
store,,noun_
storm,,noun_
story,,noun_
straight,,adj_
strange,,adj_
street,,noun_
strength,,noun_
strike,,verb_
strive,,verb_
strong,,adj_
study,,verb_
stumble,,verb_
subject,,noun_
subsist,,noun_
subtle,,adj_
subtly,,adv_
subtract,,verb_
succeed,,verb_
successful,,adj_
such,,det_
sudden,,adj_
suffer,,verb_
superior,,adj_
supernatural,,adj_
survive,,verb_
suspicious,,adj_
swamp,,noun_
swap,,verb_
swindler,,noun_
sword,,noun_
table,,noun_
tag,,noun_
tail,,noun_
take,,verb_
tale,,noun_
talent,,noun_
talking,,noun_
tall,,adj_
target,,noun_
tarokka,,noun_
tavern,,adj_
technique,,noun_
teleport,,verb_
tell,,verb_
temple,,noun_
tempo,,noun_
temporarily,,adv_
temporary,,adj_
tend,,verb_
tendency,,noun_
tenet,,noun_
than,,sconj_
thank,,noun_
that,,det_
thaumaturgy,,noun_
the,,det_
theme,,noun_
then,,adv_
there,,pron_
these,,det_
thick,,adj_
thief,,noun_
thing,,noun_
think,,verb_
this,,det_
those,,det_
though,,adv_
three,,num_
thrive,,verb_
through,,adp_
throughout,,adp_
throw,,noun_
tiefle,,verb_
tiefling,,noun_
tilt,,verb_
time,,noun_
to,,part_
tomb,,noun_
tome,,noun_
tone,,noun_
tool,,noun_
tooth,,noun_
touch,,noun_
toward,,adp_
town,,noun_
trace,,verb_
trade,,noun_
tradition,,noun_
trait,,noun_
travel,,verb_
treat,,verb_
troubadour,,noun_
true,,adj_
trust,,verb_
truth,,noun_
try,,verb_
tune,,verb_
turn,,noun_
tutor,,verb_
twist,,verb_
two,,num_
typically,,adv_
unable,,adj_
under,,adp_
unknown,,adj_
unlock,,verb_
unoccupied,,adj_
unravel,,noun_
untangle,,verb_
until,,adp_
up,,adp_
upset,,adj_
upward,,adv_
usable,,adj_
use,,verb_
usually,,adv_
utter,,verb_
vanish,,verb_
variety,,noun_
various,,adj_
vast,,adj_
versatility,,noun_
very,,adv_
vibration,,noun_
violence,,noun_
virtue,,noun_
virtuous,,adj_
visible,,adj_
vision,,noun_
vocalization,,noun_
voice,,noun_
voluntarily,,adv_
wager,,verb_
wait,,verb_
walk,,verb_
wander,,verb_
war,,noun_
warrior,,noun_
watch,,noun_
way,,noun_
weapon,,noun_
weave,,verb_
well,,adv_
what,,det_
when,,adv_
whenever,,adv_
where,,adv_
whether,,sconj_
which,,det_
while,,sconj_
whisper,,noun_
white,,adj_
who,,pron_
wicked,,adj_
wide,,adj_
wildcat,,noun_
will,,verb_
winter,,noun_
wish,,noun_
wit,,noun_
with,,adp_
within,,adp_
without,,adp_
witness,,verb_
word,,noun_
work,,noun_
world,,noun_
worthy,,adj_
would,,verb_
wound,,noun_
wrathful,,adj_
write,,verb_
year,,noun_
young,,adj_
youth,,noun_
